user_id,item_id,is_correct,timestamp
student_0030df3636f5,9596870,1,2026-04-12T23:06:49-07:00
student_0030df3636f5,9596870,1,2026-04-12T23:07:11-07:00
student_0030df3636f5,9596871,1,2026-04-12T23:07:24-07:00
student_0030df3636f5,9596871,1,2026-04-12T23:07:31-07:00
student_0030df3636f5,9596872,1,2026-04-12T23:07:58-07:00
student_0030df3636f5,9596875,0,2026-04-12T23:15:23-07:00
student_0030df3636f5,9596875,1,2026-04-12T23:16:25-07:00
student_0030df3636f5,9596875,1,2026-04-12T23:17:13-07:00
student_0030df3636f5,9596876,0,2026-04-12T23:19:04-07:00
student_0030df3636f5,9596876,0,2026-04-12T23:19:48-07:00
student_0030df3636f5,9596876,1,2026-04-12T23:20:34-07:00
student_0030df3636f5,9596877,1,2026-04-13T00:28:10-07:00
student_0030df3636f5,9596877,0,2026-04-13T00:31:02-07:00
student_0030df3636f5,9598973,1,2026-04-20T14:12:16-07:00
student_0030df3636f5,9598974,0,2026-04-20T14:12:30-07:00
student_0030df3636f5,9598976,0,2026-04-20T14:28:31-07:00
student_0030df3636f5,9599002,1,2026-04-20T14:19:20-07:00
student_0030df3636f5,9599014,0,2026-04-20T14:15:40-07:00
student_0030df3636f5,9603580,1,2026-04-20T03:24:51-07:00
student_0030df3636f5,9603581,0,2026-04-20T13:33:41-07:00
student_0030df3636f5,9603582,1,2026-04-20T13:40:31-07:00
student_0030df3636f5,9603583,0,2026-04-20T13:46:47-07:00
student_0030df3636f5,9603583,0,2026-04-20T13:47:15-07:00
student_0030df3636f5,9603584,0,2026-04-20T13:50:45-07:00
student_0030df3636f5,9603585,0,2026-04-20T13:48:01-07:00
student_0030df3636f5,9603585,0,2026-04-20T13:48:08-07:00
student_0030df3636f5,9603585,1,2026-04-20T13:48:11-07:00
student_0030df3636f5,9603592,0,2026-04-20T03:25:04-07:00
student_0030df3636f5,9603592,0,2026-04-20T03:25:10-07:00
student_0030df3636f5,9603592,0,2026-04-20T03:25:13-07:00
student_0030df3636f5,9603592,1,2026-04-20T03:25:16-07:00
student_0030df3636f5,9603593,0,2026-04-20T03:26:09-07:00
student_0030df3636f5,9603593,1,2026-04-20T03:26:17-07:00
