concept_id,p_init,p_learn,p_guess,p_slip
3,0.5853468058186921,1.0,0.5,0.5
4,0.642425759510987,0.19721190014032927,0.7090337601738048,0.03832100860354502
6,0.26692623252944137,0.13129869529813426,0.6736057450589387,0.14979565082733895
7,0.8057997301981097,1.0,0.5,0.5
8,0.20339009231666152,0.11017182673687724,0.336432772532123,0.21031012388888534
10,0.36393359595998903,0.5634841392176776,0.0037383204804448795,0.2957732639432081
12,0.3179205543862039,0.043912393159742935,0.6013451044880358,0.17927452048087444
13,0.0019781285554870518,0.23212178513384876,0.31130146078442916,0.32596725283833333
14,0.2868813866543947,0.022597181400433215,0.4686147370108488,0.290700710292571
15,0.36380874837405025,0.06628758283584386,0.6643860783544141,0.04444587282210019
16,0.048721582291235015,0.07559398925720391,0.33719307732321974,0.34139016803359495
17,0.18748924943634945,0.09066237892599908,0.5060988392026947,0.19782311215365708
18,0.25702987714919295,0.9968897711467755,0.3164830378076269,0.30217032853940196
19,0.7057186693277518,1.0,0.5,0.5
20,0.21623902810529866,0.931977149633216,0.35726451142911536,0.31259807191491157
23,0.7415590535417756,0.4583346729919362,0.07657703034574372,0.5785934405534451
27,0.08056545748162514,0.16891700281453625,0.4055219087307614,0.1876459044888019
29,0.0030319384654864698,0.08052508200848159,0.5978686456913714,0.11113554743814859
33,0.1475253852380596,0.137620379525506,0.5894221163710156,0.15191457802367822
35,0.8206091130334163,0.4226946510217533,0.29398303441388834,0.21316270878579055
36,0.001842697829538999,0.5294170403534875,0.4228330100992495,0.16850967929169586
38,0.00012253915792900127,0.5327594114231339,0.4522313215684467,0.9939324306806104
39,0.9242699762569246,0.7655394379811336,9.66047962427629e-10,0.23147779200346974
40,0.3110377779382525,0.26609204312903656,0.3672709792040997,0.11251576555156802
41,0.8560327720282012,1.0,0.5,0.5
42,0.3330453400749283,0.060410001085990025,0.45935981422542016,0.27473152111350124
43,0.5860377528521361,0.42090786175059586,0.0022098994004621244,0.368426125974185
44,0.02133326443599468,0.07124613936301444,0.47290696564527557,0.33344850658541053
46,0.0009077543712294783,0.12353154182971074,0.6885557171990355,0.0009469275898165928
47,0.02092242912507129,0.2006718210860983,0.4248335715454144,0.3926153760179807
52,0.18157265356813906,0.046673116975360945,0.5932947203838153,0.1788761023947512
55,0.627714571685276,0.6996091734863988,0.08275625387430435,0.26982787932215235
56,0.49239441703185444,0.21704311226952266,0.7549923347751595,0.49594154908367605
57,0.32106222144635527,1.0,0.5,0.5
